Entity,Code,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
Afghanistan,AFG,237.04546,178.54546,205.36,194.4762,186.17308,226.47058,263.8158,366.61905,406.19177,268.90475,175.36363,137.75,101.27273,284.88235,244.3125
Africa,OWID_AFR,422.45407,416.89523,414.00317,421.26068,422.21872,421.13748,386.18875,412.31415,409.31607,405.3085,403.19702,407.08212,404.8834,468.89294,555.44604
Akrotiri and Dhekelia,OWID_AKD,6.0,,,,164.0,,105.0,209.0,,,53.0,,,,
Albania,ALB,506.69913,232.5,189.47826,297.12344,299.70834,387.90875,270.78946,291.9292,324.70477,517.62244,315.90756,357.58823,490.48032,650.98346,226.0
Algeria,DZA,450.79144,291.89877,333.94836,353.86856,303.6281,428.69507,211.65433,323.1831,355.7785,588.6039,364.0383,345.44867,193.67938,204.58376,185.20512
Angola,AGO,432.64236,432.61765,421.33707,434.47974,427.7375,436.0573,401.10013,451.2833,420.05157,413.93738,414.21927,437.94736,433.7136,459.6267,371.7225
Antigua and Barbuda,ATG,,237.0,192.0,,150.0,,186.5,,,190.0,,116.0,,,138.66667
Argentina,ARG,372.45987,410.0515,404.6429,372.3573,444.24762,432.97925,375.77658,367.79898,443.9954,377.1284,490.6607,414.98483,387.7314,406.51248,430.26312
Armenia,ARM,271.2237,279.76135,237.46153,324.64102,265.88406,332.98795,217.94215,344.425,229.41176,278.5263,363.30157,216.34616,283.5,434.93405,224.5
Asia,OWID_ASI,377.10446,360.3369,377.582,392.739,364.79675,375.5645,324.71567,378.50906,364.9735,374.30984,330.50772,379.71686,353.10007,385.56616,565.4684
Australia,AUS,1228.1514,850.929,940.06586,919.53613,731.10254,827.93365,894.44977,1113.7297,701.4955,691.3911,746.9806,1127.7172,819.1863,1107.2058,814.1554
Austria,AUT,162.66667,152.66667,193.2,278.5,,218.75,143.33333,211.0,,174.0,288.4,185.0,196.625,233.42857,340.5
Azerbaijan,AZE,319.43265,308.30234,336.13245,441.934,327.45706,365.53134,266.48026,409.21902,292.87018,380.15494,330.74158,240.48334,295.52942,382.864,259.85715
Bahamas,BHS,484.75,728.3457,423.58536,696.25714,557.3788,766.56384,347.5,602.4091,633.5439,462.72726,486.20834,438.475,719.29266,519.17474,334.7073
Bangladesh,BGD,539.2176,497.66565,508.3697,363.774,412.1206,357.31543,434.42966,502.1854,484.055,467.0288,355.90686,581.7872,441.4293,426.20807,837.54755
Barbados,BRB,,,263.0,,183.0,,187.0,,,,,,,,
Belarus,BLR,238.25,175.75229,225.70169,287.9538,197.16843,187.6519,158.23463,264.72507,276.99268,228.6701,198.74603,179.84848,182.40541,232.7931,396.59015
Belgium,BEL,,153.0,188.5,180.0,236.5,,141.0,183.5,127.0,351.0,141.75,279.5,,282.25,302.0
Belize,BLZ,293.50806,327.5707,340.44217,329.11642,326.00616,352.44818,298.51294,304.15964,310.03284,277.61386,292.2651,280.54642,358.29318,284.0,248.36014
Benin,BEN,361.51782,347.9587,354.9258,340.033,371.33548,384.05435,333.28998,389.71353,353.59665,439.0177,435.29465,419.82526,456.8218,517.1458,550.72144
Bhutan,BTN,540.8108,355.97675,426.84506,634.71796,570.74194,396.80435,360.21054,547.0625,335.79166,505.07895,295.0,504.82352,455.81482,421.64517,782.2727
Bolivia,BOL,526.25024,433.66534,387.74417,485.22403,525.64044,490.36707,406.98825,722.1182,575.61285,616.7801,548.0782,578.48785,1154.7661,503.30316,369.2902
Bonaire Sint Eustatius and Saba,BES,,,,,,,,,,,,,161.0,,
Bosnia and Herzegovina,BIH,448.77826,311.10257,195.3158,365.38196,305.40668,497.34946,180.4,278.68024,405.63605,454.6783,359.30176,196.2,318.25244,416.4125,296.61627
Botswana,BWA,1024.3931,915.60657,830.54736,823.2717,826.601,1177.8267,950.51294,850.60077,980.41986,1215.7435,1207.8219,1018.76794,761.5166,991.76373,538.36
Brazil,BRA,529.7329,379.3777,433.22992,468.61972,450.1492,521.2311,354.8321,520.8062,543.5757,489.34958,450.09586,422.37906,648.6829,536.04083,380.6251
British Virgin Islands,VGB,,,,,,139.0,149.5,,166.0,,,,,,
Brunei,BRN,168.83333,395.0,398.0,315.54544,334.4375,,386.0,268.0,278.14285,199.28572,186.2,227.0,269.6,,297.6
Bulgaria,BGR,287.4411,258.13556,232.47348,246.0981,257.26215,251.79749,186.979,274.41992,230.33533,246.78676,227.2,247.74603,338.89474,379.68042,239.42857
Burkina Faso,BFA,369.6587,369.92123,363.47556,370.1839,374.47455,376.58755,312.7881,365.7597,362.22537,381.607,381.45142,443.10284,491.1302,673.48926,511.583
Burundi,BDI,318.98325,330.1718,315.9,325.93567,303.30865,302.6478,323.55444,332.48407,338.6875,313.0645,335.86615,336.29245,325.1726,295.73026,399.0
Cambodia,KHM,367.3462,399.78577,373.4002,377.9735,390.62347,387.212,346.30627,352.09427,352.28915,375.2468,352.63596,336.46558,361.79898,351.6306,531.47375
Cameroon,CMR,339.1566,343.12976,333.6997,325.70642,341.37643,343.3259,310.855,330.1261,322.679,336.43085,316.73132,356.884,325.0048,395.0175,459.53122
Canada,CAN,613.4452,741.88074,773.04767,750.2883,471.0701,747.9774,727.631,765.4776,261.63916,872.1817,625.078,1119.5636,1030.7115,901.485,235.12541
Cape Verde,CPV,192.0,,1688.5714,516.0,,,236.0,,,,169.0,724.5,,407.5,262.5
Cayman Islands,CYM,,,,,,,,,,,,191.0,,,130.0
Central African Republic,CAF,427.06873,444.34738,449.61557,451.71216,471.73788,451.89835,451.91684,435.78812,443.38705,438.88165,439.772,445.40738,424.59875,531.28625,682.1374
Chad,TCD,452.18628,427.1847,411.27826,422.04987,442.42572,432.67358,380.30505,430.7826,417.05518,414.25266,406.31088,419.81815,393.4447,527.60205,536.3282
Chile,CHL,294.0661,269.02036,341.27472,368.3156,318.87933,755.73047,260.5598,346.97964,344.41953,308.2816,387.18112,793.30896,334.97876,355.7567,532.2862
China,CHN,276.07306,270.30978,288.55548,299.26096,262.97357,284.40543,214.86917,277.58386,326.37753,302.47784,280.9809,312.9414,302.58762,445.79572,564.6523
Colombia,COL,323.6215,355.45096,388.20563,332.5505,395.86328,351.2537,322.39417,381.28674,377.83243,321.10327,400.19968,294.93164,353.78293,297.96594,362.74127
