CAT Name,Event Name,Event Start,Event Finish,Financial Year,State,Town,Description,Type,Year,Postcode,ORIGINAL LOSS VALUE,NORMALISED LOSS VALUE (2022),TOTAL CLAIMS RECEIVED,Domestic Building Claims,Domestic Content Claims,Domestic Motor Claims,Domestic Other Claims,Commercial Property Claims,Commercial motor,Commercial BI Claims,Commercial Other Claims,Commercial Crop Claims
CAT261,Victorian Bushfires,7-Jan-26,8-Feb-26,FY25,VIC,Victoria,The Insurance Council of Australia (ICA) has today escalated its significant event declaration to an Insurance Catastrophe for the bushfires that have been impacting 18 LGAs across Victoria since 7 January.,Bushfire,2026,"3691, 3695, 3697, 3698, 3699, 3701, 3735, 3737, 3738, 3739, 3740, 3741, 3744, 3747, 3749, 3858, 3862, 3898, 3272, 3293, 3294, 3314, 3325, 3351, 3361, 3373, 3374, 3375, 3377, 3378, 3379, 3381, 3469, 3232, 3233, 3234, 3235, 3236, 3237, 3238, 3239, 3241, 3242, 3243, 3249, 3250, 3251, 3254, 3260, 3266, 3269, 3321, 3322, 3323, 3329, 3239, 3249, 3251, 3260, 3264, 3265, 3266, 3267, 3268, 3269, 3270, 3271, 3272, 3322, 3323, 3324, 3325, 3351, 3352, 3360, 3361, 2550, 2551, 2627, 2628, 2632, 2633, 3697, 3699, 3701, 3707, 3741, 3851, 3862, 3864, 3865, 3875, 3878, 3880, 3882, 3885, 3886, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3895, 3896, 3898, 3900, 3902, 3903, 3904, 3909, 3213, 3218, 3221, 3241, 3321, 3322, 3323, 3324, 3328, 3329, 3330, 3331, 3332, 3333, 3334, 3340, 3342, 3351, 3352, 3356, 3360, 3361, 3444, 3448, 3453, 3463, 3515, 3516, 3522, 3523, 3550, 3551, 3555, 3556, 3557, 3558, 3559, 3561, 3570, 3571, 3572, 3662, 3317, 3385, 3390, 3400, 3401, 3407, 3409, 3414, 3418, 3666, 3669, 3673, 3678, 3713, 3714, 3715, 3719, 3720, 3722, 3723, 3825, 3858, 2648, 2717, 2737, 2738, 2739, 3489, 3490, 3491, 3494, 3496, 3498, 3500, 3501, 3505, 3506, 3507, 3509, 3512, 3533, 3546, 3549, 5302, 5304, 5311, 5340, 5341, 3064, 3430, 3434, 3435, 3444, 3521, 3522, 3523, 3607, 3608, 3658, 3659, 3660, 3662, 3663, 3664, 3666, 3717, 3753, 3756, 3757, 3758, 3762, 3764, 2646, 2647, 2710, 2712, 2714, 2731, 3564, 3620, 3621, 3629, 3631, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3644, 3646, 3649, 3675, 3678, 3685, 3725, 3726, 3727, 3728, 3730, 3444, 3446, 3447, 3448, 3450, 3451, 3453, 3461, 3462, 3463, 3464, 3465, 3472, 3515, 3551, 3659, 3660, 3666, 3711, 3712, 3713, 3714, 3715, 3717, 3718, 3719, 3720, 3723, 3757, 3761, 3763, 3775, 3777, 3778, 3779, 3799, 3325, 3351, 3352, 3360, 3361, 3363, 3371, 3373, 3375, 3377, 3378, 3384, 3465, 3467, 3468, 3469, 3472, 3477, 3478, 3559, 3607, 3608, 3610, 3612, 3630, 3631, 3646, 3660, 3662, 3663, 3664, 3665, 3666, 3669, 3670, 3673, 3715, 3719, 3720, 3725, 2640, 2642, 2644, 3691, 3695, 3697, 3699, 3700, 3701, 3704, 3705, 3707, 3708, 3709, 3900, 3723, 3737, 3825, 3844, 3847, 3850, 3851, 3852, 3854, 3856, 3857, 3858, 3859, 3860, 3862, 3864, 3870, 3873, 3874, 3875, 3880"," $574,420,613.00 "," $574,420,613.00 ","4,781","1,157",820,369,38,"1,844",349,99,101,4
CAT211,Perth Hills Bushfire,1-Feb-21,21-Feb-21,FY20,WA,,The Insurance Council has declared a catastrophe for the Perth Hills Bushfires (CAT211) which remain at emergency warning level. The WA Department of Fire and Emergency Services has confirmed 81 homes have been destroyed,Bushfire,2021,"6084, 6558, 6059, 6083"," $98,557,284.00 "," $106,900,000.00 ","1,342",245,247,84,2,617,110,28,8,1
CAT195,"2019/20 Bushfires (NSW,QLD,SA,VIC)",8-Nov-19,13-Feb-20,FY19,SEQ,,"A series of fires across NSW, QLD, SA and VIC impacted homes and businesses from 8th November (to date). A catastrophe (CAT195) was declared by the insurance industry on 8th November and remains open whilst the fire emergency continues. The area defined by this declaration has grown over the bushfire season as losses have continued to occur. The event now encompasses 183 postcodes across four states, an area that contains many tens of thousands of building and contents policies.",Bushfire,2019,"2157, 2250, 2311, 2325, 2328, 2329, 2330, 2337, 2338, 2340, 2346, 2350, 2354, 2355, 2370, 2371, 2372, 2422, 2424, 2429, 2430, 2440, 2441, 2444, 2445, 2446, 2447, 2449, 2453, 2454, 2460, 2463, 2466, 2469, 2470, 2471, 2472, 2474, 2475, 2476, 2480, 2482, 2484, 2536, 2537, 2538, 2539, 2540, 2545, 2546, 2550, 2551, 2570, 2571, 2572, 2573, 2574, 2575, 2621, 2622, 2629, 2630, 2631, 2640, 2642, 2644, 2649, 2653, 2720, 2729, 2730, 2752, 2753, 2756, 2758, 2775, 2780, 2785, 2786, 2787, 2790, 2846, 2847, 2848, 2849, 2850, 3691, 3697, 3699, 3701, 3705, 3707, 3708, 3709, 3875, 3882, 3885, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3895, 3896, 4287, 4310, 4312, 4355, 4357, 4562, 4565, 4703, 4800, 5076, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5120, 5121, 5125, 5131, 5132, 5133, 5134, 5139, 5144, 5155, 5223, 5231, 5232, 5233, 5234, 5236, 5240, 5241, 5242, 5243, 5244, 5245, 5250, 5251, 5252, 5254, 5255, 5350, 5351, 5371, 5400, 5501, 5502"," $2,319,164,486.00 "," $2,405,400,000.00 ","38,936","9,665","14,355","1,659",712,"8,883","1,368","1,268",998,
CAT193,NSW/QLD September 2019 Bushfires,5-Sep-19,11-Sep-19,FY19,SEQ,,"Upto 70 bushfires across southern QLD and 70 in NSW, fanned by high winds led to multiple property losses over 5,6,7,8,9 September. Fires yet to be controlled. Catastrophe declared by ICA on 7 September:QLD Damage assessment so far:Eight homes at Sarabah,Three homes at Applethorpe and Stanthorpe,One home in Biboohra,Damage assessments underway in Peregian Springs.NSW Damage assessment so far:Drake, 4 homes destroyed, 4 outbuildings destroyed, 4 damaged Tenterfield, 1 home destroyed, 4 damaged, 3 facilities destroyed, 15 outbuildings destroyed, 10 damagedLidsdale 1 home damaged, 3 outbuildings destroyed",Bushfire,2019,," $13,500,000.00 "," $15,900,000.00 ",,,,,,,,,,
Undeclared,Bunker Hill Bushfire,29-Mar-19,30-Mar-19,FY18,,Bunker Hill,A grassfire destroyed 3 homes west of Ballarat near Bunker Hill,Bushfire,2019,3352," $750,000.00 "," $1,000,000.00 ",,3,3,5,,,,,,
CAT192,Bunyip Bushfires,3-Mar-19,12-Mar-19,FY18,,Bunyip State Forrest,Victorian authorities confirmed 29 houses and 67 structures were destroyed in a bushfire that was sparked by lightning strikes in the Bunyip State Park in eastern Victoria.,Bushfire,2019,"3139, 3678, 3712, 3713, 3722, 3723, 3737, 3779, 3781, 3782, 3783, 3797, 3799, 3810, 3812, 3813, 3814, 3815, 3816, 3818, 3820, 3821, 3822, 3823, 3824, 3825, 3831, 3832, 3833, 3856, 3857, 3858, 3859, 3860, 3862, 3869"," $35,429,104.00 "," $54,000,000.00 ",519,142,147,32, -   ,90,39,38,30,1
CAT182,Tathra Bushfires,17-Mar-18,19-Mar-18,FY17,,Tathra,"Bushfires in NSW and VIC caused approx 125 structure losses (NSW 100, VIC 27). Damage to residential properties was focussed in the NSW town of Tathra. The industry was quick to deploy teams, who engaged directly with victims at an insurance hub established near the government recovery centre. Approximately 90% of claims for this event are closed, 18% faster than in similar historical events. Underinsurance has been an issue for properties that were a total physical loss, resulting in a higher rate of cash settlement (insufficient funds to rebuild). A NSW government scheme to support the removal of debris from properties was not adopted by the majority of industry as in other states. Insurers elected to organise cleanup operations with their own resources.Estimated Value $82,489,235Lodged Claims 1,03921% of claims are from Victoria, the remainder are from New South Wales.23% of the loss value is from Victoria, the remainder from New South Wales",Bushfire,2018,"2550, 3237, 3249, 3260, 3264, 3265, 3266, 3267, 3268, 3269, 3270, 3272, 3274, 3276, 3277, 3281, 3282, 3283, 3285, 3286, 3287, 3289, 3301, 3325"," $82,489,235.00 "," $111,100,000.00 ","1,032",364,320,49,18,220,24,26,11, -   
CAT171,NSW Bushfires,12-Feb-17,18-Feb-17,FY16,,,"Over the period 12 Feburary to 18 February up to 100 bushfire occured throughout NSW. The most devestatiing bushfire occured to the East of Dunedoo, destroying an estimated 26 homes and causing significant equipment, fencing and livestock losses to rural properties.  A further 11 homes were destroyed and 12 damaged in a fast moving fire near Carwoola on 17 February.  Approximately 7 other homes were destroyed in other bushfires across NSW during the period.",Bushfire,2017,"2329, 2620, 2621, 2843, 2844, 2850"," $33,500,000.00 "," $52,300,000.00 ", -   ,,,,,,,,,
Undeclared,NSW Bushfires,6-Nov-16,8-Nov-16,FY16,,,"On 6,7,8 November upto 21 bushfires were active along the NSW coast. Very limited property damage was reported. The event was not declared a catastrophe for insurance purposes. The insured loss estimate is based upon market reporting from approximately 50% of insurers within the footprint, modelled to estimate the industry loss estimate.",Bushfire,2016,," $1,000,000.00 "," $1,600,000.00 ",,,,,,,,,,
Undeclared,Tasmania Wide Bushfires,15-Jan-16,15-Feb-16,FY15,,,"During January 2016 upto 88 separate bushfires burned across the North of Tasmania. Limited damage occured to private property. The Commonwealth Disaster Plan was activiated in order to provide additional fire figthing resources to Tasmani in order to get the fires under control. This event was not declared a catastrophe for insurance purposes. The insured loss estimate is based on market reporting to ICA from great than 50% of insurers, modelled to estimate the industry loss estimate.",Bushfire,2016,," $2,200,200.00 "," $3,500,000.00 ",,,,,,,,,,
