state,type,x,y,sal_dots,vol_dots
NSW,Salaried,0,0,12,101
NSW,Salaried,1,0,12,101
NSW,Salaried,2,0,12,101
NSW,Salaried,3,0,12,101
NSW,Salaried,4,0,12,101
NSW,Salaried,5,0,12,101
NSW,Salaried,6,0,12,101
NSW,Salaried,7,0,12,101
NSW,Salaried,0,1,12,101
NSW,Salaried,1,1,12,101
NSW,Salaried,2,1,12,101
NSW,Salaried,3,1,12,101
NSW,Volunteer,4,1,12,101
NSW,Volunteer,5,1,12,101
NSW,Volunteer,6,1,12,101
NSW,Volunteer,7,1,12,101
NSW,Volunteer,0,2,12,101
NSW,Volunteer,1,2,12,101
NSW,Volunteer,2,2,12,101
NSW,Volunteer,3,2,12,101
NSW,Volunteer,4,2,12,101
NSW,Volunteer,5,2,12,101
NSW,Volunteer,6,2,12,101
NSW,Volunteer,7,2,12,101
NSW,Volunteer,0,3,12,101
NSW,Volunteer,1,3,12,101
NSW,Volunteer,2,3,12,101
NSW,Volunteer,3,3,12,101
NSW,Volunteer,4,3,12,101
NSW,Volunteer,5,3,12,101
NSW,Volunteer,6,3,12,101
NSW,Volunteer,7,3,12,101
NSW,Volunteer,0,4,12,101
NSW,Volunteer,1,4,12,101
NSW,Volunteer,2,4,12,101
NSW,Volunteer,3,4,12,101
NSW,Volunteer,4,4,12,101
NSW,Volunteer,5,4,12,101
NSW,Volunteer,6,4,12,101
NSW,Volunteer,7,4,12,101
NSW,Volunteer,0,5,12,101
NSW,Volunteer,1,5,12,101
NSW,Volunteer,2,5,12,101
NSW,Volunteer,3,5,12,101
NSW,Volunteer,4,5,12,101
NSW,Volunteer,5,5,12,101
NSW,Volunteer,6,5,12,101
NSW,Volunteer,7,5,12,101
NSW,Volunteer,0,6,12,101
NSW,Volunteer,1,6,12,101
NSW,Volunteer,2,6,12,101
NSW,Volunteer,3,6,12,101
NSW,Volunteer,4,6,12,101
NSW,Volunteer,5,6,12,101
NSW,Volunteer,6,6,12,101
NSW,Volunteer,7,6,12,101
NSW,Volunteer,0,7,12,101
NSW,Volunteer,1,7,12,101
NSW,Volunteer,2,7,12,101
NSW,Volunteer,3,7,12,101
NSW,Volunteer,4,7,12,101
NSW,Volunteer,5,7,12,101
NSW,Volunteer,6,7,12,101
NSW,Volunteer,7,7,12,101
NSW,Volunteer,0,8,12,101
NSW,Volunteer,1,8,12,101
NSW,Volunteer,2,8,12,101
NSW,Volunteer,3,8,12,101
NSW,Volunteer,4,8,12,101
NSW,Volunteer,5,8,12,101
NSW,Volunteer,6,8,12,101
NSW,Volunteer,7,8,12,101
NSW,Volunteer,0,9,12,101
NSW,Volunteer,1,9,12,101
NSW,Volunteer,2,9,12,101
NSW,Volunteer,3,9,12,101
NSW,Volunteer,4,9,12,101
NSW,Volunteer,5,9,12,101
NSW,Volunteer,6,9,12,101
NSW,Volunteer,7,9,12,101
NSW,Volunteer,0,10,12,101
NSW,Volunteer,1,10,12,101
NSW,Volunteer,2,10,12,101
NSW,Volunteer,3,10,12,101
NSW,Volunteer,4,10,12,101
NSW,Volunteer,5,10,12,101
NSW,Volunteer,6,10,12,101
NSW,Volunteer,7,10,12,101
NSW,Volunteer,0,11,12,101
NSW,Volunteer,1,11,12,101
NSW,Volunteer,2,11,12,101
NSW,Volunteer,3,11,12,101
NSW,Volunteer,4,11,12,101
NSW,Volunteer,5,11,12,101
NSW,Volunteer,6,11,12,101
NSW,Volunteer,7,11,12,101
NSW,Volunteer,0,12,12,101
NSW,Volunteer,1,12,12,101
NSW,Volunteer,2,12,12,101
NSW,Volunteer,3,12,12,101
NSW,Volunteer,4,12,12,101
NSW,Volunteer,5,12,12,101
NSW,Volunteer,6,12,12,101
NSW,Volunteer,7,12,12,101
NSW,Volunteer,0,13,12,101
NSW,Volunteer,1,13,12,101
NSW,Volunteer,2,13,12,101
NSW,Volunteer,3,13,12,101
NSW,Volunteer,4,13,12,101
NSW,Volunteer,5,13,12,101
NSW,Volunteer,6,13,12,101
NSW,Volunteer,7,13,12,101
NSW,Volunteer,0,14,12,101
VIC,Salaried,0,0,13,58
VIC,Salaried,1,0,13,58
VIC,Salaried,2,0,13,58
VIC,Salaried,3,0,13,58
VIC,Salaried,4,0,13,58
VIC,Salaried,5,0,13,58
VIC,Salaried,6,0,13,58
VIC,Salaried,7,0,13,58
VIC,Salaried,0,1,13,58
VIC,Salaried,1,1,13,58
VIC,Salaried,2,1,13,58
VIC,Salaried,3,1,13,58
VIC,Salaried,4,1,13,58
VIC,Volunteer,5,1,13,58
VIC,Volunteer,6,1,13,58
VIC,Volunteer,7,1,13,58
VIC,Volunteer,0,2,13,58
VIC,Volunteer,1,2,13,58
VIC,Volunteer,2,2,13,58
VIC,Volunteer,3,2,13,58
VIC,Volunteer,4,2,13,58
VIC,Volunteer,5,2,13,58
VIC,Volunteer,6,2,13,58
VIC,Volunteer,7,2,13,58
VIC,Volunteer,0,3,13,58
VIC,Volunteer,1,3,13,58
VIC,Volunteer,2,3,13,58
VIC,Volunteer,3,3,13,58
VIC,Volunteer,4,3,13,58
VIC,Volunteer,5,3,13,58
VIC,Volunteer,6,3,13,58
VIC,Volunteer,7,3,13,58
VIC,Volunteer,0,4,13,58
VIC,Volunteer,1,4,13,58
VIC,Volunteer,2,4,13,58
VIC,Volunteer,3,4,13,58
VIC,Volunteer,4,4,13,58
VIC,Volunteer,5,4,13,58
VIC,Volunteer,6,4,13,58
VIC,Volunteer,7,4,13,58
VIC,Volunteer,0,5,13,58
VIC,Volunteer,1,5,13,58
VIC,Volunteer,2,5,13,58
VIC,Volunteer,3,5,13,58
VIC,Volunteer,4,5,13,58
VIC,Volunteer,5,5,13,58
VIC,Volunteer,6,5,13,58
VIC,Volunteer,7,5,13,58
VIC,Volunteer,0,6,13,58
VIC,Volunteer,1,6,13,58
VIC,Volunteer,2,6,13,58
VIC,Volunteer,3,6,13,58
VIC,Volunteer,4,6,13,58
VIC,Volunteer,5,6,13,58
VIC,Volunteer,6,6,13,58
VIC,Volunteer,7,6,13,58
VIC,Volunteer,0,7,13,58
VIC,Volunteer,1,7,13,58
VIC,Volunteer,2,7,13,58
VIC,Volunteer,3,7,13,58
VIC,Volunteer,4,7,13,58
VIC,Volunteer,5,7,13,58
VIC,Volunteer,6,7,13,58
VIC,Volunteer,7,7,13,58
VIC,Volunteer,0,8,13,58
VIC,Volunteer,1,8,13,58
VIC,Volunteer,2,8,13,58
VIC,Volunteer,3,8,13,58
VIC,Volunteer,4,8,13,58
VIC,Volunteer,5,8,13,58
VIC,Volunteer,6,8,13,58
QLD,Salaried,0,0,6,22
QLD,Salaried,1,0,6,22
QLD,Salaried,2,0,6,22
QLD,Salaried,3,0,6,22
QLD,Salaried,4,0,6,22
QLD,Salaried,5,0,6,22
QLD,Volunteer,6,0,6,22
QLD,Volunteer,7,0,6,22
QLD,Volunteer,0,1,6,22
QLD,Volunteer,1,1,6,22
QLD,Volunteer,2,1,6,22
QLD,Volunteer,3,1,6,22
QLD,Volunteer,4,1,6,22
QLD,Volunteer,5,1,6,22
QLD,Volunteer,6,1,6,22
QLD,Volunteer,7,1,6,22
QLD,Volunteer,0,2,6,22
QLD,Volunteer,1,2,6,22
QLD,Volunteer,2,2,6,22
QLD,Volunteer,3,2,6,22
QLD,Volunteer,4,2,6,22
QLD,Volunteer,5,2,6,22
QLD,Volunteer,6,2,6,22
QLD,Volunteer,7,2,6,22
QLD,Volunteer,0,3,6,22
QLD,Volunteer,1,3,6,22
QLD,Volunteer,2,3,6,22
QLD,Volunteer,3,3,6,22
WA,Salaried,0,0,2,29
WA,Salaried,1,0,2,29
WA,Volunteer,2,0,2,29
WA,Volunteer,3,0,2,29
WA,Volunteer,4,0,2,29
WA,Volunteer,5,0,2,29
WA,Volunteer,6,0,2,29
WA,Volunteer,7,0,2,29
WA,Volunteer,0,1,2,29
WA,Volunteer,1,1,2,29
WA,Volunteer,2,1,2,29
WA,Volunteer,3,1,2,29
WA,Volunteer,4,1,2,29
WA,Volunteer,5,1,2,29
WA,Volunteer,6,1,2,29
WA,Volunteer,7,1,2,29
WA,Volunteer,0,2,2,29
WA,Volunteer,1,2,2,29
WA,Volunteer,2,2,2,29
WA,Volunteer,3,2,2,29
WA,Volunteer,4,2,2,29
WA,Volunteer,5,2,2,29
WA,Volunteer,6,2,2,29
WA,Volunteer,7,2,2,29
WA,Volunteer,0,3,2,29
WA,Volunteer,1,3,2,29
WA,Volunteer,2,3,2,29
WA,Volunteer,3,3,2,29
WA,Volunteer,4,3,2,29
WA,Volunteer,5,3,2,29
WA,Volunteer,6,3,2,29
SA,Salaried,0,0,2,21
SA,Salaried,1,0,2,21
SA,Volunteer,2,0,2,21
SA,Volunteer,3,0,2,21
SA,Volunteer,4,0,2,21
SA,Volunteer,5,0,2,21
SA,Volunteer,6,0,2,21
SA,Volunteer,7,0,2,21
SA,Volunteer,0,1,2,21
SA,Volunteer,1,1,2,21
SA,Volunteer,2,1,2,21
SA,Volunteer,3,1,2,21
SA,Volunteer,4,1,2,21
SA,Volunteer,5,1,2,21
SA,Volunteer,6,1,2,21
SA,Volunteer,7,1,2,21
SA,Volunteer,0,2,2,21
SA,Volunteer,1,2,2,21
SA,Volunteer,2,2,2,21
SA,Volunteer,3,2,2,21
SA,Volunteer,4,2,2,21
SA,Volunteer,5,2,2,21
SA,Volunteer,6,2,2,21
TAS,Salaried,0,0,1,7
TAS,Volunteer,1,0,1,7
TAS,Volunteer,2,0,1,7
TAS,Volunteer,3,0,1,7
TAS,Volunteer,4,0,1,7
TAS,Volunteer,5,0,1,7
TAS,Volunteer,6,0,1,7
TAS,Volunteer,7,0,1,7
ACT,Salaried,0,0,1,2
ACT,Volunteer,1,0,1,2
ACT,Volunteer,2,0,1,2
NT,Salaried,0,0,1,1
NT,Volunteer,1,0,1,1
