year,state,salaried_fte,volunteer_firefighters
2015-16,NSW,5432,79221
2015-16,VIC,6642,35585
2015-16,QLD,3022,14217
2015-16,WA,1545,20492
2015-16,SA,1084,10828
2015-16,TAS,441,4035
2015-16,ACT,467,1444
2015-16,NT,278,296
2016-17,NSW,5980,73202
2016-17,VIC,6660,35263
2016-17,QLD,3090,14089
2016-17,WA,1590,16710
2016-17,SA,1140,10642
2016-17,TAS,445,3894
2016-17,ACT,450,1353
2016-17,NT,257,572
2017-18,NSW,6200,74100
2017-18,VIC,6680,32900
2017-18,QLD,3160,13200
2017-18,WA,1630,13400
2017-18,SA,1180,10650
2017-18,TAS,440,3980
2017-18,ACT,454,1280
2017-18,NT,252,310
2018-19,NSW,6764,73272
2018-19,VIC,6691,32679
2018-19,QLD,3240,12650
2018-19,WA,1614,12076
2018-19,SA,1211,10505
2018-19,TAS,437,4164
2018-19,ACT,439,1234
2018-19,NT,249,268
2019-20,NSW,6888,73272
2019-20,VIC,8257,32679
2019-20,QLD,3266,12650
2019-20,WA,1676,12076
2019-20,SA,1205,10505
2019-20,TAS,460,4164
2019-20,ACT,468,1234
2019-20,NT,257,268
2020-21,NSW,7031,73430
2020-21,VIC,8323,29633
2020-21,QLD,3415,12796
2020-21,WA,1703,12103
2020-21,SA,1126,10682
2020-21,TAS,487,4011
2020-21,ACT,486,1277
2020-21,NT,258,290
2021-22,NSW,7174,70472
2021-22,VIC,8388,29209
2021-22,QLD,3563,11734
2021-22,WA,1729,12567
2021-22,SA,1046,11112
2021-22,TAS,513,3911
2021-22,ACT,503,1197
2021-22,NT,258,272
2022-23,NSW,7383,67513
2022-23,VIC,8380,28785
2022-23,QLD,3684,10671
2022-23,WA,1743,13030
2022-23,SA,1046,11542
2022-23,TAS,508,3811
2022-23,ACT,506,1116
2022-23,NT,276,253
2023-24,NSW,7488,67569
2023-24,VIC,8395,28906
2023-24,QLD,3860,10971
2023-24,WA,1773,12846
2023-24,SA,1043,11144
2023-24,TAS,541,3777
2023-24,ACT,572,1024
2023-24,NT,264,275
2024-25,NSW,7601,50520
2024-25,VIC,8565,28753
2024-25,QLD,4216,10900
2024-25,WA,1832,14643
2024-25,SA,1049,10720
2024-25,TAS,560,3679
2024-25,ACT,583,991
2024-25,NT,353,646
