Calendar year,Calendar month,Region,Average FFDI
2015,7,Central,1.90444168
2015,7,East Gippsland,1.690198746
2015,7,Mallee,5.11335199
2015,7,North Central,1.971468569
2015,7,North East,1.104878604
2015,7,Northern Country,3.449868057
2015,7,South West,1.784646893
2015,7,West and South Gippsland,1.497992292
2015,7,Wimmera,3.738340325
2015,8,Central,1.887866321
2015,8,East Gippsland,1.797905165
2015,8,Mallee,6.499398606
2015,8,North Central,2.103007218
2015,8,North East,1.263865907
2015,8,Northern Country,3.544187043
2015,8,South West,2.146173015
2015,8,West and South Gippsland,1.442337999
2015,8,Wimmera,4.817855774
2015,9,Central,3.071123118
2015,9,East Gippsland,2.646129025
2015,9,Mallee,12.88961686
2015,9,North Central,4.033549798
2015,9,North East,3.283124758
2015,9,Northern Country,7.697369195
2015,9,South West,2.933899098
2015,9,West and South Gippsland,2.650400313
2015,9,Wimmera,8.128113276
2015,10,Central,10.36286608
2015,10,East Gippsland,5.356789861
2015,10,Mallee,28.47297115
2015,10,North Central,13.31226699
2015,10,North East,8.685706386
2015,10,Northern Country,21.21800932
2015,10,South West,11.03341288
2015,10,West and South Gippsland,6.615666939
2015,10,Wimmera,22.97386992
2015,11,Central,9.38770598
2015,11,East Gippsland,3.893039342
2015,11,Mallee,25.31853965
2015,11,North Central,12.11915227
2015,11,North East,7.830895783
2015,11,Northern Country,18.2915344
2015,11,South West,11.1387145
2015,11,West and South Gippsland,5.960686455
2015,11,Wimmera,19.73106997
2015,12,Central,16.23161793
2015,12,East Gippsland,8.530525536
2015,12,Mallee,35.62851324
2015,12,North Central,21.24536298
2015,12,North East,14.17079842
2015,12,Northern Country,29.5898807
2015,12,South West,21.11288782
2015,12,West and South Gippsland,10.9073403
2015,12,Wimmera,33.64051494
2016,1,Central,11.65654529
2016,1,East Gippsland,4.443618869
2016,1,Mallee,27.29045138
2016,1,North Central,14.24888853
2016,1,North East,11.75587395
2016,1,Northern Country,21.4855299
2016,1,South West,16.64998071
2016,1,West and South Gippsland,6.522514363
2016,1,Wimmera,26.13442024
2016,2,Central,10.55054102
2016,2,East Gippsland,5.349265287
2016,2,Mallee,27.31613289
2016,2,North Central,14.42429141
2016,2,North East,13.67132729
2016,2,Northern Country,21.86182365
2016,2,South West,12.68558993
2016,2,West and South Gippsland,6.94102035
2016,2,Wimmera,21.43784754
2016,3,Central,8.812658289
2016,3,East Gippsland,5.429485731
2016,3,Mallee,21.99443996
2016,3,North Central,11.64834866
2016,3,North East,12.39671767
2016,3,Northern Country,18.61635205
2016,3,South West,10.37836151
2016,3,West and South Gippsland,5.621507219
2016,3,Wimmera,17.77194325
2016,4,Central,7.87407476
2016,4,East Gippsland,4.172857048
2016,4,Mallee,16.32935957
2016,4,North Central,8.474564105
2016,4,North East,8.392137864
2016,4,Northern Country,12.72758484
2016,4,South West,9.572809762
2016,4,West and South Gippsland,5.026596196
2016,4,Wimmera,13.1906429
2016,5,Central,3.758823429
2016,5,East Gippsland,5.426228649
2016,5,Mallee,7.443788119
2016,5,North Central,2.920544398
2016,5,North East,1.813683391
2016,5,Northern Country,4.188295223
2016,5,South West,3.267889324
2016,5,West and South Gippsland,3.668449726
2016,5,Wimmera,5.521969412
2016,6,Central,1.595539209
2016,6,East Gippsland,1.25712982
2016,6,Mallee,3.878864203
2016,6,North Central,1.147464559
2016,6,North East,0.78247939
2016,6,Northern Country,1.952894645
2016,6,South West,1.384666176
2016,6,West and South Gippsland,1.434761254
2016,6,Wimmera,2.608419574
2016,7,Central,1.488247343
2016,7,East Gippsland,1.894958072
2016,7,Mallee,4.186681795
2016,7,North Central,1.092546116
2016,7,North East,0.70074023
2016,7,Northern Country,1.77508314
2016,7,South West,1.06685128
2016,7,West and South Gippsland,1.447952011
2016,7,Wimmera,2.194800511
2016,8,Central,2.047712316
2016,8,East Gippsland,2.757794621
2016,8,Mallee,7.30711337
2016,8,North Central,1.558076451
2016,8,North East,1.217460483
2016,8,Northern Country,2.328383071
2016,8,South West,2.205599801
2016,8,West and South Gippsland,2.326745664
2016,8,Wimmera,3.667706231
2016,9,Central,1.461316912
2016,9,East Gippsland,1.520579678
2016,9,Mallee,5.063024494
2016,9,North Central,1.180308768
2016,9,North East,1.054727379
2016,9,Northern Country,1.748413852
2016,9,South West,1.415299317
2016,9,West and South Gippsland,1.817714532
2016,9,Wimmera,2.20202406
2016,10,Central,3.552578241
2016,10,East Gippsland,4.377633809
2016,10,Mallee,10.49315795
2016,10,North Central,3.62122318
2016,10,North East,2.563686349
2016,10,Northern Country,5.614828669
2016,10,South West,3.42012709
2016,10,West and South Gippsland,3.838298211
2016,10,Wimmera,5.427346308
2016,11,Central,4.957260959
2016,11,East Gippsland,5.026493603
2016,11,Mallee,16.54099872
2016,11,North Central,5.991975155
2016,11,North East,6.257007418
2016,11,Northern Country,10.98298183
2016,11,South West,4.996828866
2016,11,West and South Gippsland,4.276973844
2016,11,Wimmera,10.12812664
2016,12,Central,8.606975538
2016,12,East Gippsland,6.914795516
2016,12,Mallee,23.25185391
2016,12,North Central,10.32964124
2016,12,North East,10.30195878
2016,12,Northern Country,16.59102394
2016,12,South West,8.91415723
2016,12,West and South Gippsland,6.705558515
2016,12,Wimmera,16.59477711
2017,1,Central,10.29927483
2017,1,East Gippsland,8.871766372
2017,1,Mallee,28.17471546
2017,1,North Central,14.25640737
2017,1,North East,12.64216545
2017,1,Northern Country,20.76079325
2017,1,South West,11.7719926
2017,1,West and South Gippsland,9.187703344
2017,1,Wimmera,21.72936712
2017,2,Central,9.702668964
2017,2,East Gippsland,7.891056494
2017,2,Mallee,22.09920927
2017,2,North Central,12.88381816
2017,2,North East,13.40001036
2017,2,Northern Country,17.43533457
2017,2,South West,12.43657347
2017,2,West and South Gippsland,7.765125083
2017,2,Wimmera,19.6993554
2017,3,Central,9.871042038
2017,3,East Gippsland,6.888860873
2017,3,Mallee,23.68776744
2017,3,North Central,13.62954988
2017,3,North East,12.29587478
2017,3,Northern Country,18.17224023
2017,3,South West,12.59863153
2017,3,West and South Gippsland,8.022425328
2017,3,Wimmera,20.9288837
2017,4,Central,3.868968918
2017,4,East Gippsland,3.57505762
2017,4,Mallee,11.97703948
2017,4,North Central,4.777240164
2017,4,North East,4.537495281
2017,4,Northern Country,7.661071404
2017,4,South West,5.150340488
2017,4,West and South Gippsland,3.897962235
2017,4,Wimmera,9.845417599
2017,5,Central,1.951891517
2017,5,East Gippsland,3.315659603
2017,5,Mallee,6.387747937
2017,5,North Central,2.431522476
2017,5,North East,2.825827762
2017,5,Northern Country,3.765384426
2017,5,South West,2.216573869
2017,5,West and South Gippsland,2.988944812
2017,5,Wimmera,4.094968611
2017,6,Central,1.340242746
2017,6,East Gippsland,2.269007051
2017,6,Mallee,4.061162047
2017,6,North Central,1.560042338
2017,6,North East,1.979109114
2017,6,Northern Country,2.411724879
2017,6,South West,1.470977936
2017,6,West and South Gippsland,2.002117543
2017,6,Wimmera,2.478282964
2017,7,Central,2.126693646
2017,7,East Gippsland,3.975335717
2017,7,Mallee,7.487388126
2017,7,North Central,1.862956955
2017,7,North East,1.429925617
2017,7,Northern Country,3.031204932
2017,7,South West,1.920959922
2017,7,West and South Gippsland,3.106655915
2017,7,Wimmera,3.49867158
2017,8,Central,1.848884716
2017,8,East Gippsland,3.603615605
2017,8,Mallee,5.365118911
2017,8,North Central,1.480281736
2017,8,North East,1.159448043
2017,8,Northern Country,2.285285834
2017,8,South West,1.598123731
2017,8,West and South Gippsland,2.685335147
2017,8,Wimmera,2.31434592
2017,9,Central,3.367364307
2017,9,East Gippsland,6.816889176
2017,9,Mallee,13.73362734
2017,9,North Central,4.082774864
2017,9,North East,3.62255763
2017,9,Northern Country,6.903594724
2017,9,South West,2.554082596
2017,9,West and South Gippsland,3.870574107
2017,9,Wimmera,5.486734552
2017,10,Central,4.40134799
2017,10,East Gippsland,5.116667491
2017,10,Mallee,16.11038594
2017,10,North Central,5.137232716
2017,10,North East,3.857285754
2017,10,Northern Country,8.813647258
2017,10,South West,4.221683706
2017,10,West and South Gippsland,4.249320691
2017,10,Wimmera,8.303482909
2017,11,Central,6.018920219
2017,11,East Gippsland,5.288993517
2017,11,Mallee,20.02045097
2017,11,North Central,7.863128859
2017,11,North East,6.743318505
2017,11,Northern Country,12.7893752
2017,11,South West,6.328337679
2017,11,West and South Gippsland,5.560724937
2017,11,Wimmera,13.57020341
2017,12,Central,6.034508576
2017,12,East Gippsland,4.135202241
2017,12,Mallee,20.75014871
2017,12,North Central,7.682818564
2017,12,North East,6.773857711
2017,12,Northern Country,12.14294692
2017,12,South West,8.249699457
2017,12,West and South Gippsland,3.965974436
2017,12,Wimmera,15.76742036
2018,1,Central,11.44394668
2018,1,East Gippsland,5.860905922
2018,1,Mallee,35.03599757
2018,1,North Central,15.079393
2018,1,North East,13.97665608
2018,1,Northern Country,24.8246727
2018,1,South West,18.36597665
2018,1,West and South Gippsland,6.929175775
2018,1,Wimmera,29.69271525
2018,2,Central,12.65565222
2018,2,East Gippsland,9.024542061
2018,2,Mallee,29.55930648
2018,2,North Central,16.60243811
2018,2,North East,15.52747418
2018,2,Northern Country,23.05313871
2018,2,South West,16.63729705
2018,2,West and South Gippsland,10.25804528
2018,2,Wimmera,25.90071263
2018,3,Central,12.47661045
2018,3,East Gippsland,9.5052319
2018,3,Mallee,23.62849153
2018,3,North Central,15.06504402
2018,3,North East,13.99445002
2018,3,Northern Country,20.14090048
2018,3,South West,14.54145419
2018,3,West and South Gippsland,9.795521574
2018,3,Wimmera,20.13233853
2018,4,Central,7.356057855
2018,4,East Gippsland,8.715159636
2018,4,Mallee,20.1318563
2018,4,North Central,9.501059626
2018,4,North East,9.976577951
2018,4,Northern Country,15.03689637
2018,4,South West,8.99038172
2018,4,West and South Gippsland,6.552168918
2018,4,Wimmera,15.61495756
2018,5,Central,3.935943037
2018,5,East Gippsland,5.054673408
2018,5,Mallee,8.476229475
2018,5,North Central,3.827060781
2018,5,North East,4.160893009
2018,5,Northern Country,6.548913869
2018,5,South West,3.811030468
2018,5,West and South Gippsland,4.024791509
2018,5,Wimmera,5.57878114
2018,6,Central,1.743262346
2018,6,East Gippsland,2.453089583
2018,6,Mallee,4.855930648
2018,6,North Central,1.572193186
2018,6,North East,1.645306344
2018,6,Northern Country,3.261532821
2018,6,South West,2.008991162
2018,6,West and South Gippsland,2.165762474
2018,6,Wimmera,3.461425091
2018,7,Central,2.856557458
2018,7,East Gippsland,4.482437726
2018,7,Mallee,9.03105768
2018,7,North Central,2.622943732
2018,7,North East,2.226417024
2018,7,Northern Country,5.430622458
2018,7,South West,2.382144036
2018,7,West and South Gippsland,3.800382114
2018,7,Wimmera,5.223877804
2018,8,Central,2.847499324
2018,8,East Gippsland,4.566592816
2018,8,Mallee,11.14447842
2018,8,North Central,2.464726239
2018,8,North East,1.944309218
2018,8,Northern Country,5.657926842
2018,8,South West,2.261983345
2018,8,West and South Gippsland,3.544389592
2018,8,Wimmera,4.968119889
2018,9,Central,4.018454201
2018,9,East Gippsland,5.278706125
2018,9,Mallee,15.65200889
2018,9,North Central,4.442063415
2018,9,North East,4.259643673
2018,9,Northern Country,10.06426799
2018,9,South West,3.768871296
2018,9,West and South Gippsland,4.047516429
2018,9,Wimmera,8.479217822
2018,10,Central,5.361244983
2018,10,East Gippsland,5.256697349
2018,10,Mallee,21.30364759
2018,10,North Central,6.447638203
2018,10,North East,8.038354126
2018,10,Northern Country,13.94395735
2018,10,South West,5.195863903
2018,10,West and South Gippsland,4.736781988
2018,10,Wimmera,12.32906342
2018,11,Central,5.685771291
2018,11,East Gippsland,5.421888075
2018,11,Mallee,24.55404658
2018,11,North Central,8.324602311
2018,11,North East,7.979104088
2018,11,Northern Country,17.7221218
2018,11,South West,6.811273132
2018,11,West and South Gippsland,4.6613791
2018,11,Wimmera,15.54986
2018,12,Central,7.065569427
2018,12,East Gippsland,5.699835875
2018,12,Mallee,26.6553201
2018,12,North Central,10.31913649
2018,12,North East,10.23397557
2018,12,Northern Country,21.48254498
2018,12,South West,9.967179674
2018,12,West and South Gippsland,6.356674945
2018,12,Wimmera,20.65433087
2019,1,Central,16.54075035
2019,1,East Gippsland,10.2645097
2019,1,Mallee,44.56712039
2019,1,North Central,24.42898684
2019,1,North East,22.35467711
2019,1,Northern Country,37.62676719
2019,1,South West,19.70973828
2019,1,West and South Gippsland,13.27833419
2019,1,Wimmera,35.90187788
2019,2,Central,13.58033179
2019,2,East Gippsland,8.677615798
2019,2,Mallee,28.07448283
2019,2,North Central,17.80255915
2019,2,North East,16.03703975
2019,2,Northern Country,23.32115422
2019,2,South West,16.27972135
2019,2,West and South Gippsland,11.09310596
2019,2,Wimmera,25.96367241
2019,3,Central,12.8646189
2019,3,East Gippsland,7.69024408
2019,3,Mallee,24.20376875
2019,3,North Central,15.83855269
2019,3,North East,12.26138361
2019,3,Northern Country,21.34377387
2019,3,South West,13.85913805
2019,3,West and South Gippsland,9.410851852
2019,3,Wimmera,20.47807674
2019,4,Central,9.61023208
2019,4,East Gippsland,4.802684326
2019,4,Mallee,18.24016336
2019,4,North Central,10.51463509
2019,4,North East,7.79736381
2019,4,Northern Country,14.42330908
2019,4,South West,10.77599581
2019,4,West and South Gippsland,6.668746489
2019,4,Wimmera,14.95924003
2019,5,Central,3.079295183
2019,5,East Gippsland,3.112676294
2019,5,Mallee,7.465284166
2019,5,North Central,2.619843051
2019,5,North East,2.12536164
2019,5,Northern Country,3.842072118
2019,5,South West,3.494248199
2019,5,West and South Gippsland,3.547306889
2019,5,Wimmera,5.301333459
2019,6,Central,1.563101501
2019,6,East Gippsland,2.020881911
2019,6,Mallee,5.404169235
2019,6,North Central,1.740257215
2019,6,North East,1.582560888
2019,6,Northern Country,3.071854573
2019,6,South West,1.805632511
2019,6,West and South Gippsland,2.254573403
2019,6,Wimmera,3.433751629
2019,7,Central,1.80757113
2019,7,East Gippsland,3.17914234
2019,7,Mallee,4.872917893
2019,7,North Central,1.470825251
2019,7,North East,1.191212617
2019,7,Northern Country,2.703198053
2019,7,South West,1.571500034
2019,7,West and South Gippsland,2.451081905
2019,7,Wimmera,2.888193955
2019,8,Central,1.918342735
2019,8,East Gippsland,4.285187613
2019,8,Mallee,7.283713168
2019,8,North Central,1.988745192
2019,8,North East,2.149184203
2019,8,Northern Country,4.221175479
2019,8,South West,1.89445821
2019,8,West and South Gippsland,2.747689745
2019,8,Wimmera,3.238235779
2019,9,Central,2.653137968
2019,9,East Gippsland,4.308204673
2019,9,Mallee,12.41789402
2019,9,North Central,2.907051487
2019,9,North East,3.497503572
2019,9,Northern Country,7.06282639
2019,9,South West,2.3434445
2019,9,West and South Gippsland,3.352521136
2019,9,Wimmera,4.7767491
2019,10,Central,5.767659607
2019,10,East Gippsland,6.992955333
2019,10,Mallee,23.1659716
2019,10,North Central,7.436348272
2019,10,North East,8.228304625
2019,10,Northern Country,16.4591021
2019,10,South West,5.335576894
2019,10,West and South Gippsland,5.977673917
2019,10,Wimmera,12.39247784
2019,11,Central,6.656838619
2019,11,East Gippsland,7.686661813
2019,11,Mallee,25.95812055
2019,11,North Central,10.30167492
2019,11,North East,12.17648813
2019,11,Northern Country,22.06602278
2019,11,South West,5.708032921
2019,11,West and South Gippsland,6.342598862
2019,11,Wimmera,14.93925551
2019,12,Central,12.93116745
2019,12,East Gippsland,13.19789477
2019,12,Mallee,42.93407355
2019,12,North Central,18.75846441
2019,12,North East,21.71998078
2019,12,Northern Country,33.92913096
2019,12,South West,15.12477786
2019,12,West and South Gippsland,10.42808416
2019,12,Wimmera,32.12276825
2020,1,Central,10.6338254
2020,1,East Gippsland,10.27961768
2020,1,Mallee,30.77813342
2020,1,North Central,15.78422986
2020,1,North East,20.09064446
2020,1,Northern Country,26.21999407
2020,1,South West,14.81549382
2020,1,West and South Gippsland,7.977536923
2020,1,Wimmera,25.86493825
2020,2,Central,5.348860469
2020,2,East Gippsland,5.60011982
2020,2,Mallee,20.64005355
2020,2,North Central,9.30589676
2020,2,North East,12.75124998
2020,2,Northern Country,17.99540428
2020,2,South West,8.232396683
2020,2,West and South Gippsland,3.706221399
2020,2,Wimmera,15.39672377
2020,3,Central,5.782307232
2020,3,East Gippsland,5.654157829
2020,3,Mallee,17.44539393
2020,3,North Central,6.891328619
2020,3,North East,6.398701263
2020,3,Northern Country,11.59683119
2020,3,South West,11.29210786
2020,3,West and South Gippsland,4.72904762
2020,3,Wimmera,16.51735878
2020,4,Central,2.428284201
2020,4,East Gippsland,4.863530852
2020,4,Mallee,8.866869217
2020,4,North Central,2.557700274
2020,4,North East,3.111137784
2020,4,Northern Country,5.300357936
2020,4,South West,5.234434589
2020,4,West and South Gippsland,2.919315613
2020,4,Wimmera,8.398986935
2020,5,Central,1.836744448
2020,5,East Gippsland,3.719039987
2020,5,Mallee,7.386835449
2020,5,North Central,1.600149806
2020,5,North East,1.549072724
2020,5,Northern Country,2.985563619
2020,5,South West,3.261809692
2020,5,West and South Gippsland,1.730400014
2020,5,Wimmera,5.616814181
2020,6,Central,1.431066849
2020,6,East Gippsland,3.212078447
2020,6,Mallee,4.698184386
2020,6,North Central,1.187845438
2020,6,North East,1.186068459
2020,6,Northern Country,2.221156499
2020,6,South West,2.016039359
2020,6,West and South Gippsland,1.600971982
2020,6,Wimmera,3.129866393
2020,7,Central,1.443754109
2020,7,East Gippsland,1.782791182
2020,7,Mallee,4.811747506
2020,7,North Central,1.449237643
2020,7,North East,1.405117282
2020,7,Northern Country,2.555096365
2020,7,South West,1.897441159
2020,7,West and South Gippsland,1.260491068
2020,7,Wimmera,3.24039376
2020,8,Central,1.876455331
2020,8,East Gippsland,2.091306881
2020,8,Mallee,6.919715312
2020,8,North Central,1.745126848
2020,8,North East,1.451017314
2020,8,Northern Country,3.396368543
2020,8,South West,2.316315286
2020,8,West and South Gippsland,2.028738532
2020,8,Wimmera,4.500328526
2020,9,Central,3.018900438
2020,9,East Gippsland,4.670809941
2020,9,Mallee,12.43341673
2020,9,North Central,3.09752149
2020,9,North East,3.07034839
2020,9,Northern Country,6.066880637
2020,9,South West,3.201302457
2020,9,West and South Gippsland,3.789399873
2020,9,Wimmera,7.044254789
2020,10,Central,2.455054779
2020,10,East Gippsland,3.282096485
2020,10,Mallee,14.34126629
2020,10,North Central,3.171746891
2020,10,North East,2.703414878
2020,10,Northern Country,8.126234464
2020,10,South West,2.593547098
2020,10,West and South Gippsland,2.43587546
2020,10,Wimmera,7.395889173
2020,11,Central,6.360902797
2020,11,East Gippsland,5.587406955
2020,11,Mallee,28.88617532
2020,11,North Central,8.305499917
2020,11,North East,9.074943158
2020,11,Northern Country,15.41169218
2020,11,South West,8.022021255
2020,11,West and South Gippsland,5.433049862
2020,11,Wimmera,17.56871483
2020,12,Central,6.649631889
2020,12,East Gippsland,6.348431994
2020,12,Mallee,26.807739
2020,12,North Central,10.96532855
2020,12,North East,11.60947011
2020,12,Northern Country,18.89490182
2020,12,South West,7.228390459
2020,12,West and South Gippsland,6.15087851
2020,12,Wimmera,19.17090849
2021,1,Central,7.008800634
2021,1,East Gippsland,5.756463696
2021,1,Mallee,29.17014556
2021,1,North Central,13.33733794
2021,1,North East,14.46825476
2021,1,Northern Country,22.1180537
2021,1,South West,8.925447408
2021,1,West and South Gippsland,6.081917629
2021,1,Wimmera,24.23380297
2021,2,Central,5.866722289
2021,2,East Gippsland,3.459842459
2021,2,Mallee,25.58531994
2021,2,North Central,7.959729277
2021,2,North East,5.703338642
2021,2,Northern Country,14.69064794
2021,2,South West,8.758940439
2021,2,West and South Gippsland,5.236133546
2021,2,Wimmera,19.44402423
2021,3,Central,4.985725783
2021,3,East Gippsland,4.012373354
2021,3,Mallee,16.94167056
2021,3,North Central,6.747420871
2021,3,North East,7.655849857
2021,3,Northern Country,11.75223246
2021,3,South West,6.874535489
2021,3,West and South Gippsland,4.828199097
2021,3,Wimmera,13.71323467
2021,4,Central,4.810264582
2021,4,East Gippsland,4.124456262
2021,4,Mallee,15.4958181
2021,4,North Central,5.923940428
2021,4,North East,5.760339057
2021,4,Northern Country,9.614936731
2021,4,South West,6.839428662
2021,4,West and South Gippsland,3.619404811
2021,4,Wimmera,13.04561085
2021,5,Central,2.198808528
2021,5,East Gippsland,1.799435151
2021,5,Mallee,9.400138774
2021,5,North Central,2.933722999
2021,5,North East,2.663460571
2021,5,Northern Country,5.761143138
2021,5,South West,3.250395077
2021,5,West and South Gippsland,1.857408671
2021,5,Wimmera,7.334551316
2021,6,Central,1.218044773
2021,6,East Gippsland,1.266540939
2021,6,Mallee,5.111491073
2021,6,North Central,1.129411245
2021,6,North East,0.968366001
2021,6,Northern Country,2.378913165
2021,6,South West,1.469177114
2021,6,West and South Gippsland,1.121437753
2021,6,Wimmera,3.405330106
2021,7,Central,1.570524809
2021,7,East Gippsland,2.893365083
2021,7,Mallee,5.6325435
2021,7,North Central,1.060192264
2021,7,North East,0.692429405
2021,7,Northern Country,2.054501545
2021,7,South West,1.25251504
2021,7,West and South Gippsland,2.083167621
2021,7,Wimmera,3.116404611
2021,8,Central,2.797900237
2021,8,East Gippsland,3.1182697
2021,8,Mallee,8.951480245
2021,8,North Central,2.496927118
2021,8,North East,1.800629147
2021,8,Northern Country,3.77266267
2021,8,South West,2.594220808
2021,8,West and South Gippsland,2.676725249
2021,8,Wimmera,4.823230704
2021,9,Central,3.290813138
2021,9,East Gippsland,3.037034031
2021,9,Mallee,14.98907712
2021,9,North Central,2.978977291
2021,9,North East,2.492492522
2021,9,Northern Country,5.581870525
2021,9,South West,3.507066594
2021,9,West and South Gippsland,3.01172123
2021,9,Wimmera,7.231530245
2021,10,Central,2.290195406
2021,10,East Gippsland,2.773771329
2021,10,Mallee,15.38722473
2021,10,North Central,2.948126745
2021,10,North East,2.973586384
2021,10,Northern Country,5.476272458
2021,10,South West,2.813831305
2021,10,West and South Gippsland,2.063228223
2021,10,Wimmera,6.895970542
2021,11,Central,3.252916683
2021,11,East Gippsland,1.523670718
2021,11,Mallee,15.36629555
2021,11,North Central,3.841606266
2021,11,North East,2.72589798
2021,11,Northern Country,6.486489713
2021,11,South West,4.29868391
2021,11,West and South Gippsland,1.902447102
2021,11,Wimmera,10.35196076
2021,12,Central,7.45671224
2021,12,East Gippsland,2.827195397
2021,12,Mallee,31.06813813
2021,12,North Central,10.39635344
2021,12,North East,7.359691492
2021,12,Northern Country,16.70891739
2021,12,South West,10.07521812
2021,12,West and South Gippsland,4.929609392
2021,12,Wimmera,21.92867437
2022,1,Central,8.676276927
2022,1,East Gippsland,2.803112973
2022,1,Mallee,26.33952357
2022,1,North Central,12.82849725
2022,1,North East,6.26185726
2022,1,Northern Country,16.61446859
2022,1,South West,12.68491924
2022,1,West and South Gippsland,4.954372416
2022,1,Wimmera,24.13395958
2022,2,Central,8.501750092
2022,2,East Gippsland,3.571650972
2022,2,Mallee,24.89501794
2022,2,North Central,12.8356882
2022,2,North East,7.966830235
2022,2,Northern Country,19.11130302
2022,2,South West,12.55041303
2022,2,West and South Gippsland,5.808739837
2022,2,Wimmera,22.70976984
2022,3,Central,5.115508362
2022,3,East Gippsland,1.999414051
2022,3,Mallee,16.87204004
2022,3,North Central,7.057510173
2022,3,North East,5.796907175
2022,3,Northern Country,11.49995997
2022,3,South West,6.723050996
2022,3,West and South Gippsland,3.76101726
2022,3,Wimmera,12.41106053
2022,4,Central,4.11481352
2022,4,East Gippsland,1.398087141
2022,4,Mallee,9.813723118
2022,4,North Central,4.222694746
2022,4,North East,3.501528804
2022,4,Northern Country,6.083936924
2022,4,South West,6.234054172
2022,4,West and South Gippsland,2.32281078
2022,4,Wimmera,8.780810812
2022,5,Central,2.099749753
2022,5,East Gippsland,2.206976341
2022,5,Mallee,4.868468157
2022,5,North Central,2.027975605
2022,5,North East,2.002288414
2022,5,Northern Country,3.072877086
2022,5,South West,3.29457332
2022,5,West and South Gippsland,1.995008646
2022,5,Wimmera,4.192276914
2022,6,Central,1.321292427
2022,6,East Gippsland,1.820231484
2022,6,Mallee,3.143333504
2022,6,North Central,1.028760181
2022,6,North East,0.738004546
2022,6,Northern Country,1.787443017
2022,6,South West,1.464091005
2022,6,West and South Gippsland,1.149837409
2022,6,Wimmera,2.275528233
2022,7,Central,1.616327089
2022,7,East Gippsland,1.511425556
2022,7,Mallee,4.470359762
2022,7,North Central,1.58023616
2022,7,North East,1.5362907
2022,7,Northern Country,2.694119626
2022,7,South West,1.746751094
2022,7,West and South Gippsland,1.490182036
2022,7,Wimmera,2.682090945
2022,8,Central,1.587581984
2022,8,East Gippsland,1.849883311
2022,8,Mallee,5.591626167
2022,8,North Central,1.17836098
2022,8,North East,0.844232591
2022,8,Northern Country,2.106740274
2022,8,South West,1.761492014
2022,8,West and South Gippsland,1.469586156
2022,8,Wimmera,2.692111965
2022,9,Central,1.6063977
2022,9,East Gippsland,2.003513083
2022,9,Mallee,4.357227448
2022,9,North Central,1.320633215
2022,9,North East,1.177668097
2022,9,Northern Country,1.884176865
2022,9,South West,1.6087369
2022,9,West and South Gippsland,1.817001793
2022,9,Wimmera,2.115497153
2022,10,Central,1.096981606
2022,10,East Gippsland,1.727849669
2022,10,Mallee,2.979076843
2022,10,North Central,1.130955671
2022,10,North East,1.130773877
2022,10,Northern Country,1.584121324
2022,10,South West,1.534774923
2022,10,West and South Gippsland,1.501925536
