Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4848,5402,2930,1033,920,350,433,256,,16171
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,881,628,185,2,25,2,5,0,,1728
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,28,293,11,147,0,0,0,13,,491
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5756,6323,3125,1182,945,351,438,269,,18390
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,75.7,73.8,74.1,64.5,90.1,62.7,75.1,76.2,,74.3
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,67.4,90.2,55.6,39.3,49.9,61,91,102.6,,67.1
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1845,2242,1091,650,104,209,145,84,,6370
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,7601,8565,4216,1832,1049,560,583,353,,24760
9A.4,2024-25,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,3586,3212,1954,997,952,..,366,..,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,688,490,629,61,21,na,63,..,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,174,131,477,109,71,na,10,na,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,34,0,43,13,0,na,..,na,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,6,..,22,2,0,na,..,na,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,56,59,53,42,67,..,77,..,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,43,39,59,24,11,na,9170,..,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,45,51,65,56,34,na,..,na,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,130,0,58,14,0,na,..,na,,na
9A.4,2024-25,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,90,..,41,3,0,na,..,na,,na
9A.4,2024-25,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,682,155,466,53,72,26,45,38,,1537
9A.4,2024-25,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1793,1333,1486,398,353,97,138,109,,5707
9A.4,2024-25,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1872,1178,1297,353,342,110,131,79,,5362
9A.4,2024-25,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1828,711,1164,322,332,99,106,65,,4626
9A.4,2024-25,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,681,483,390,111,172,27,25,10,,1898
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6855,3860,4803,1236,1271,359,445,301,,19130
9A.4,2024-25,Human resources,All ages,Males,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6024,3646,4383,1142,1184,328,413,258,,17378
9A.4,2024-25,Human resources,All ages,Females,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,830,214,420,93,86,30,33,35,,1741
9A.4,2024-25,Human resources,All ages,Other,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,2,0,na,1,1,1,0,8,,13
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6855,3860,4803,1236,1271,359,446,301,,19131
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.6,1.3,4.7,5.2,7.8,2.6,3.5,3,,2.6
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6.7,2.1,7.1,5,5.9,2.5,3.6,2.7,,5.5
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,50520,28753,10900,14643,10720,3679,991,646,,120852
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,24429,23043,16765,2163,1990,800,0,0,,69190
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,74949,51796,27665,16806,12710,4479,991,646,,190042
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,877.1,738.8,492.4,558.6,671.9,777.9,205.7,246.4,,693.6
9A.4,2024-25,Human resources,All ages,Males,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,39783,39232,20114,12251,10008,3076,747,439,,125649
9A.4,2024-25,Human resources,All ages,Females,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,10553,12513,7551,2380,2694,603,235,207,,36736
9A.4,2024-25,Human resources,All ages,Other,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,19,51,na,12,8,na,9,0,,99
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,50355,51796,27665,14643,12710,3679,991,646,,162484
9A.4,2024-25,Human resources,<30 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,6146,8018,2516,2169,2532,628,98,66,,22173
9A.4,2024-25,Human resources,30-39 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,7059,7555,3398,2537,2133,737,158,57,,23634
9A.4,2024-25,Human resources,40-49 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,7395,7173,4239,2568,2133,678,192,41,,24419
9A.4,2024-25,Human resources,50-59 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,9784,8774,5643,2929,2350,678,199,42,,30399
9A.4,2024-25,Human resources,60+ years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,19897,20276,11869,3970,3562,958,266,36,,60834
9A.4,2024-25,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,50275,51796,27665,14172,12710,3679,913,242,,161452
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,4814,5273,2708,1014,918,345,424,229,,15724
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,869,622,191,1,24,2,7,0,,1717
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,19,289,34,144,0,0,0,10,,496
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,5702,6184,2934,1159,942,347,431,239,,17937
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,76.1,73.7,76,65.4,90.3,64.1,75.3,90.5,,74.9
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,67.6,89.5,53.1,39.6,50.5,60.4,91.7,94.2,,66.5
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1786,2211,926,614,101,194,141,25,,5998
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,7488,8395,3860,1773,1043,541,572,264,,23936
9A.4,2023-24,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,8,1825,980,961,..,na,..,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,1,592,58,23,na,na,..,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,459,105,64,na,..,na,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,40,14,0,na,..,na,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,18,2,0,na,..,na,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,51,43,69,..,na,..,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,56,23,12,na,na,..,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,64,54,31,na,..,na,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,55,14,0,na,..,na,,na
9A.4,2023-24,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,33,2,0,na,..,na,,na
9A.4,2023-24,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,669,210,508,50,76,21,42,18,,1594
9A.4,2023-24,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1784,1394,1404,380,328,93,146,89,,5618
9A.4,2023-24,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1873,1090,1262,339,355,113,131,60,,5223
9A.4,2023-24,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1862,695,1215,325,330,102,96,54,,4679
9A.4,2023-24,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,646,454,385,108,180,19,22,11,,1825
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6834,3843,4774,1202,1269,348,437,232,,18939
9A.4,2023-24,Human resources,All ages,Males,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6019,3635,4349,1121,1183,322,400,204,,17233
9A.4,2023-24,Human resources,All ages,Females,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,813,208,425,80,85,25,37,21,,1694
9A.4,2023-24,Human resources,All ages,Other,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,2,0,na,1,1,1,0,7,,12
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6834,3843,4774,1201,1269,348,437,232,,18938
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.8,1.4,5.2,6.4,5.6,3.7,5.9,2.1,,2.9
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,7.7,2.3,6.8,6.2,5,3.7,6.2,2.2,,5.9
