longitude,latitude,year,count
114.0,-28.0,2020.0,17
114.0,-27.5,2022.0,1
114.0,-27.0,2022.0,4
114.0,-24.0,2023.0,3
114.0,-23.5,2023.0,10
114.0,-23.0,2022.0,16
114.0,-22.0,2022.0,13
114.5,-28.0,2023.0,10
114.5,-28.0,2024.0,2
114.5,-27.5,2023.0,5
114.5,-27.0,2023.0,26
114.5,-26.0,2022.0,9
114.5,-25.5,2022.0,5
114.5,-25.0,2022.0,28
114.5,-24.5,2022.0,17
114.5,-24.0,2022.0,3
114.5,-23.5,2021.0,1
114.5,-23.5,2022.0,2
114.5,-23.5,2023.0,1
114.5,-23.0,2021.0,4
114.5,-23.0,2023.0,4
114.5,-23.0,2024.0,1
114.5,-22.5,2020.0,6
114.5,-22.5,2021.0,3
114.5,-22.5,2024.0,2
115.0,-34.0,2021.0,2
115.0,-34.0,2022.0,3
115.0,-33.5,2022.0,2
115.0,-31.0,2024.0,8
115.0,-30.5,2020.0,4
115.0,-30.5,2022.0,30
115.0,-30.5,2023.0,4
115.0,-30.5,2024.0,77
115.0,-30.0,2020.0,22
115.0,-30.0,2022.0,1
115.0,-30.0,2024.0,7
115.0,-29.5,2020.0,16
115.0,-29.5,2023.0,1
115.0,-29.5,2024.0,3
115.0,-29.0,2021.0,8
115.0,-29.0,2023.0,1
115.0,-28.5,2020.0,6
115.0,-28.5,2024.0,1
115.0,-26.0,2022.0,79
115.0,-25.5,2022.0,60
115.0,-25.0,2022.0,21
115.0,-24.5,2023.0,1
115.0,-24.5,2024.0,2
115.0,-24.0,2021.0,1
115.0,-24.0,2022.0,1
115.0,-23.5,2021.0,4
115.0,-23.5,2022.0,2
115.0,-23.0,2022.0,7
115.0,-22.5,2022.0,13
115.0,-22.0,2023.0,2
115.0,-21.5,2020.0,2
115.5,-34.5,2020.0,3
115.5,-34.5,2022.0,9
115.5,-34.5,2023.0,3
115.5,-34.0,2020.0,4
115.5,-34.0,2021.0,2
115.5,-34.0,2022.0,1
115.5,-34.0,2023.0,1
115.5,-34.0,2024.0,20
115.5,-33.5,2020.0,1
115.5,-33.5,2021.0,2
115.5,-33.5,2024.0,5
115.5,-31.5,2020.0,2
115.5,-31.5,2021.0,12
115.5,-31.5,2022.0,7
115.5,-31.5,2023.0,5
115.5,-31.5,2024.0,6
115.5,-31.0,2020.0,3
115.5,-31.0,2021.0,19
115.5,-31.0,2023.0,11
115.5,-31.0,2024.0,84
115.5,-30.5,2020.0,4
115.5,-30.5,2022.0,5
115.5,-30.5,2023.0,9
115.5,-30.5,2024.0,89
115.5,-30.0,2020.0,2
115.5,-30.0,2021.0,1
115.5,-30.0,2022.0,1
115.5,-30.0,2023.0,24
115.5,-30.0,2024.0,1
115.5,-29.5,2021.0,2
115.5,-29.5,2023.0,3
115.5,-29.5,2024.0,12
115.5,-29.0,2021.0,2
115.5,-29.0,2023.0,2
115.5,-28.5,2023.0,3
115.5,-22.5,2020.0,1
115.5,-22.0,2020.0,2
115.5,-22.0,2023.0,22
116.0,-35.0,2023.0,2
116.0,-35.0,2024.0,7
116.0,-34.5,2020.0,2
116.0,-34.5,2021.0,2
116.0,-34.5,2022.0,9
116.0,-34.5,2023.0,1
116.0,-34.5,2024.0,6
116.0,-34.0,2020.0,3
116.0,-34.0,2022.0,12
116.0,-34.0,2023.0,3
116.0,-34.0,2024.0,18
116.0,-33.5,2022.0,7
116.0,-33.5,2023.0,14
116.0,-33.5,2024.0,3
116.0,-33.0,2022.0,8
116.0,-33.0,2023.0,3
116.0,-33.0,2024.0,7
116.0,-32.5,2020.0,11
116.0,-32.5,2021.0,3
116.0,-32.5,2022.0,2
116.0,-32.5,2023.0,4
116.0,-32.5,2024.0,27
116.0,-32.0,2020.0,3
116.0,-32.0,2021.0,4
116.0,-32.0,2022.0,4
116.0,-32.0,2023.0,1
116.0,-32.0,2024.0,3
116.0,-31.5,2020.0,5
116.0,-31.5,2021.0,39
116.0,-31.5,2022.0,22
116.0,-31.5,2023.0,8
116.0,-31.5,2024.0,24
116.0,-31.0,2020.0,2
116.0,-31.0,2022.0,8
116.0,-31.0,2023.0,2
116.0,-30.5,2020.0,1
116.0,-30.5,2022.0,8
116.0,-30.5,2023.0,2
116.0,-30.5,2024.0,3
116.0,-30.0,2022.0,1
116.0,-30.0,2023.0,1
116.0,-29.5,2020.0,1
116.0,-29.5,2022.0,4
116.0,-28.5,2022.0,2
116.0,-28.5,2023.0,1
116.0,-23.5,2024.0,10
116.0,-23.0,2020.0,2
116.0,-22.0,2020.0,2
116.0,-22.0,2021.0,2
116.0,-22.0,2022.0,5
116.0,-22.0,2023.0,51
116.0,-21.5,2020.0,3
116.0,-21.5,2024.0,4
116.5,-35.0,2021.0,2
116.5,-35.0,2023.0,1
116.5,-35.0,2024.0,19
116.5,-34.5,2020.0,11
116.5,-34.5,2022.0,8
116.5,-34.5,2023.0,9
116.5,-34.5,2024.0,3
116.5,-34.0,2020.0,4
116.5,-34.0,2021.0,1
116.5,-34.0,2022.0,3
116.5,-34.0,2023.0,3
116.5,-34.0,2024.0,1
116.5,-33.5,2021.0,2
116.5,-33.5,2022.0,2
116.5,-33.5,2023.0,5
116.5,-33.5,2024.0,25
116.5,-33.0,2020.0,10
116.5,-33.0,2022.0,5
116.5,-33.0,2023.0,1
116.5,-33.0,2024.0,1
116.5,-32.5,2020.0,4
116.5,-32.5,2021.0,4
116.5,-32.5,2022.0,10
116.5,-32.5,2023.0,6
116.5,-32.5,2024.0,29
116.5,-32.0,2021.0,7
116.5,-32.0,2022.0,36
116.5,-32.0,2023.0,9
116.5,-32.0,2024.0,2
116.5,-31.5,2021.0,1
116.5,-31.5,2022.0,4
116.5,-31.5,2023.0,1
116.5,-31.5,2024.0,2
116.5,-31.0,2022.0,5
116.5,-31.0,2023.0,14
116.5,-30.5,2021.0,2
116.5,-30.5,2022.0,5
116.5,-30.5,2023.0,7
116.5,-30.5,2024.0,1
116.5,-30.0,2022.0,4
116.5,-30.0,2023.0,1
