longitude,latitude,year,count,avg_frp,total_frp,pct_night,pct_high_intensity
114.25,-27.75,2020,17,109.2,1857.0,0.0,5.9
114.25,-22.75,2020,6,69.1,414.5,0.0,0.0
114.75,-29.75,2020,9,128.8,1159.0,0.0,11.1
114.75,-21.75,2020,1,72.2,72.2,0.0,0.0
115.25,-34.25,2020,1,50.4,50.4,0.0,0.0
115.25,-30.75,2020,4,247.4,989.5,0.0,75.0
115.25,-30.25,2020,6,81.9,491.1,0.0,0.0
115.25,-29.75,2020,26,115.9,3014.5,0.0,7.7
115.25,-28.75,2020,6,80.9,485.6,0.0,0.0
115.25,-21.75,2020,1,51.8,51.8,0.0,0.0
115.75,-34.25,2020,8,108.5,867.9,0.0,12.5
115.75,-33.75,2020,1,65.7,65.7,0.0,0.0
115.75,-32.75,2020,1,71.2,71.2,0.0,0.0
115.75,-32.25,2020,4,103.2,412.8,0.0,0.0
115.75,-31.75,2020,7,142.1,994.9,0.0,14.3
115.75,-31.25,2020,5,63.6,318.2,0.0,0.0
115.75,-30.75,2020,4,251.4,1005.5,0.0,50.0
115.75,-22.25,2020,3,123.3,369.8,0.0,0.0
115.75,-21.75,2020,1,144.5,144.5,0.0,0.0
116.25,-34.25,2020,16,149.0,2383.5,0.0,18.8
116.25,-32.75,2020,13,82.4,1071.6,23.1,0.0
116.25,-32.25,2020,7,127.3,891.3,0.0,14.3
116.25,-29.25,2020,1,57.7,57.7,0.0,0.0
116.25,-22.75,2020,2,59.2,118.3,0.0,0.0
116.25,-22.25,2020,1,71.4,71.4,0.0,0.0
116.25,-21.75,2020,3,70.5,211.3,0.0,0.0
116.75,-34.25,2020,2,104.8,209.6,0.0,0.0
116.75,-33.25,2020,2,80.0,160.1,0.0,0.0
116.75,-32.25,2020,1,93.2,93.2,0.0,0.0
116.75,-20.75,2020,1,55.7,55.7,0.0,0.0
117.25,-34.75,2020,2,62.3,124.6,0.0,0.0
117.25,-33.75,2020,3,80.9,242.8,0.0,0.0
117.25,-33.25,2020,1,142.1,142.1,0.0,0.0
117.25,-32.75,2020,1,50.3,50.3,0.0,0.0
117.25,-32.25,2020,2,83.5,167.1,0.0,0.0
117.25,-23.25,2020,4,180.7,722.9,0.0,75.0
117.75,-32.25,2020,2,92.1,184.1,0.0,0.0
117.75,-22.75,2020,1,57.9,57.9,0.0,0.0
117.75,-21.25,2020,2,115.1,230.2,0.0,0.0
118.25,-34.75,2020,3,109.8,329.3,0.0,0.0
118.25,-33.25,2020,1,88.0,88.0,0.0,0.0
118.25,-21.75,2020,4,128.3,513.1,0.0,25.0
118.25,-21.25,2020,2,98.1,196.2,0.0,0.0
118.25,-20.75,2020,1,139.1,139.1,0.0,0.0
118.75,-34.75,2020,2,97.6,195.2,0.0,0.0
118.75,-34.25,2020,3,132.4,397.3,0.0,0.0
118.75,-23.75,2020,8,85.1,681.1,0.0,0.0
118.75,-22.25,2020,2,59.9,119.8,0.0,0.0
118.75,-21.75,2020,2,80.6,161.1,0.0,0.0
118.75,-21.25,2020,5,126.2,631.2,0.0,20.0
118.75,-20.75,2020,35,124.2,4347.7,0.0,14.3
118.75,-20.25,2020,1,171.6,171.6,0.0,0.0
119.25,-32.25,2020,50,130.8,6538.9,18.0,18.0
119.25,-21.75,2020,5,103.1,515.4,0.0,0.0
119.25,-21.25,2020,4,91.2,364.7,0.0,0.0
119.25,-20.75,2020,9,124.2,1117.4,0.0,11.1
119.75,-33.25,2020,2,173.9,347.8,0.0,50.0
119.75,-32.75,2020,33,88.5,2920.1,0.0,0.0
119.75,-32.25,2020,14,111.1,1555.0,14.3,0.0
119.75,-31.75,2020,4,63.6,254.2,0.0,0.0
119.75,-25.25,2020,2,88.9,177.8,0.0,0.0
119.75,-23.25,2020,1,270.8,270.8,0.0,100.0
119.75,-22.25,2020,2,164.9,329.8,0.0,50.0
119.75,-21.75,2020,1,119.0,119.0,0.0,0.0
119.75,-21.25,2020,4,120.7,482.8,0.0,25.0
119.75,-20.75,2020,22,170.3,3746.1,0.0,36.4
119.75,-20.25,2020,2,78.3,156.6,0.0,0.0
120.25,-33.75,2020,1,66.2,66.2,0.0,0.0
120.25,-32.75,2020,47,124.0,5829.9,0.0,14.9
120.25,-21.75,2020,4,96.2,384.9,0.0,25.0
120.25,-21.25,2020,1,81.0,81.0,0.0,0.0
120.25,-20.75,2020,1,60.2,60.2,0.0,0.0
120.75,-32.75,2020,4,83.8,335.4,0.0,0.0
120.75,-30.25,2020,1,87.9,87.9,0.0,0.0
120.75,-21.75,2020,2,57.5,115.1,0.0,0.0
120.75,-19.75,2020,1,56.4,56.4,0.0,0.0
121.25,-32.75,2020,21,156.4,3283.8,0.0,33.3
121.25,-32.25,2020,27,86.5,2335.4,0.0,3.7
121.25,-31.75,2020,37,113.2,4188.2,0.0,2.7
121.25,-31.25,2020,31,123.7,3835.0,0.0,16.1
121.25,-26.25,2020,2,98.8,197.7,0.0,0.0
121.75,-34.25,2020,1,90.7,90.7,0.0,0.0
121.75,-32.75,2020,35,89.7,3137.8,17.1,8.6
121.75,-32.25,2020,13,112.6,1463.5,0.0,7.7
121.75,-31.75,2020,33,98.3,3243.2,0.0,3.0
121.75,-27.25,2020,2,54.4,108.7,0.0,0.0
121.75,-24.75,2020,3,96.5,289.4,0.0,0.0
121.75,-20.25,2020,4,129.0,515.9,0.0,0.0
121.75,-19.75,2020,1,66.6,66.6,0.0,0.0
121.75,-19.25,2020,1,256.5,256.5,0.0,100.0
121.75,-18.75,2020,1,160.6,160.6,0.0,0.0
122.25,-33.25,2020,48,109.8,5268.6,0.0,6.2
122.25,-32.75,2020,226,148.4,33547.2,1.8,21.2
122.25,-32.25,2020,13,123.7,1608.5,0.0,0.0
122.25,-31.75,2020,2,76.1,152.3,0.0,0.0
122.25,-19.75,2020,2,93.4,186.8,0.0,0.0
122.25,-19.25,2020,13,83.8,1090.0,0.0,0.0
122.25,-17.25,2020,8,89.2,713.3,0.0,0.0
122.75,-33.75,2020,3,81.2,243.6,0.0,0.0
122.75,-28.25,2020,2,78.2,156.4,0.0,0.0
122.75,-23.75,2020,1,54.9,54.9,0.0,0.0
122.75,-22.75,2020,2,122.2,244.4,0.0,0.0
122.75,-19.75,2020,2,67.0,133.9,0.0,0.0
122.75,-17.75,2020,27,123.7,3339.3,0.0,11.1
122.75,-17.25,2020,33,101.0,3333.8,0.0,6.1
122.75,-16.75,2020,3,84.3,252.9,0.0,0.0
123.25,-33.25,2020,6,119.9,719.3,0.0,0.0
123.25,-32.75,2020,179,144.3,25837.9,0.0,25.1
123.25,-32.25,2020,208,98.9,20580.9,0.0,5.3
123.25,-30.75,2020,26,89.8,2333.6,0.0,0.0
123.25,-30.25,2020,3,95.4,286.3,0.0,0.0
123.25,-29.25,2020,3,80.6,241.7,0.0,0.0
123.25,-27.75,2020,1,213.2,213.2,0.0,100.0
123.25,-27.25,2020,12,84.9,1018.3,0.0,0.0
123.25,-17.75,2020,21,100.0,2099.7,0.0,4.8
123.25,-17.25,2020,9,73.4,660.4,11.1,0.0
123.25,-16.75,2020,1,81.6,81.6,0.0,0.0
123.75,-33.25,2020,35,99.1,3469.7,0.0,0.0
123.75,-32.75,2020,80,129.0,10322.5,0.0,10.0
123.75,-32.25,2020,46,120.0,5518.0,0.0,10.9
123.75,-31.75,2020,5,86.8,434.1,0.0,0.0
123.75,-31.25,2020,15,67.6,1013.4,0.0,0.0
123.75,-30.75,2020,37,98.8,3655.3,0.0,2.7
123.75,-29.75,2020,2,85.4,170.8,50.0,0.0
123.75,-27.75,2020,4,100.3,401.2,0.0,0.0
123.75,-27.25,2020,19,106.6,2025.3,0.0,0.0
123.75,-26.75,2020,1,67.8,67.8,0.0,0.0
123.75,-26.25,2020,2,76.1,152.2,0.0,0.0
123.75,-20.25,2020,1,60.3,60.3,0.0,0.0
123.75,-17.75,2020,2,74.4,148.9,0.0,0.0
123.75,-17.25,2020,1,70.7,70.7,0.0,0.0
123.75,-16.25,2020,1,50.9,50.9,0.0,0.0
124.25,-32.75,2020,314,110.2,34598.8,0.0,9.9
124.25,-32.25,2020,1,54.9,54.9,0.0,0.0
124.25,-29.25,2020,6,113.9,683.5,0.0,0.0
124.25,-28.75,2020,1,296.0,296.0,0.0,100.0
124.25,-18.75,2020,7,138.9,972.3,0.0,14.3
