state,year,max_temp,min_temp
VIC,2016,45.6,29
VIC,2017,46.9,28.9
VIC,2018,46.4,31.4
VIC,2019,47.9,29.3
VIC,2020,46.2,30.4
VIC,2021,43.9,28.3
VIC,2022,41.1,29.1
VIC,2023,43.2,26.1
VIC,2024,47.1,27.2
VIC,2025,44.2,27.6
VIC,2026,48.9,29.4
NSW,2016,46,31.4
NSW,2017,47.9,34.2
NSW,2018,47.3,33.1
NSW,2019,48.8,36.6
NSW,2020,48.9,34.7
NSW,2021,45.1,31.7
NSW,2022,45.1,30.6
NSW,2023,46.4,33
NSW,2024,47.7,32.6
NSW,2025,46.8,31.6
NSW,2026,49.7,33.8
QLD,2016,46.9,33.2
QLD,2017,47.4,33.5
QLD,2018,48,34.4
QLD,2019,49.3,35.1
QLD,2020,48.7,33.3
QLD,2021,45.9,33
QLD,2022,46.8,33.9
QLD,2023,47.2,31.8
QLD,2024,49.4,36.4
QLD,2025,47.5,34.3
QLD,2026,48.5,34.4
SA,2016,45.9,31.8
SA,2017,48.2,32.8
SA,2018,48.1,34.2
SA,2019,49.9,36.1
SA,2020,48,31.9
SA,2021,46,33.2
SA,2022,47.6,32.1
SA,2023,46.5,31.8
SA,2024,48.5,33.2
SA,2025,48.7,31.4
SA,2026,50,34.2
WA,2016,47.8,33.4
WA,2017,46.7,31.6
WA,2018,49.3,34
WA,2019,49.8,35.1
WA,2020,48.2,32.2
WA,2021,47.9,34
WA,2022,50.7,34.6
WA,2023,49.5,34.4
WA,2024,49.9,34.7
WA,2025,49.3,34.8
WA,2026,49.2,35.8
TAS,2016,36.8,21.8
TAS,2017,34.8,21.1
TAS,2018,39.7,23.9
TAS,2019,41.9,21.8
TAS,2020,41.4,21.4
TAS,2021,38,20
TAS,2022,37.9,21.3
TAS,2023,36.9,21.7
TAS,2024,37.4,22.5
TAS,2025,37.1,21.5
TAS,2026,37,20.5
NT,2016,44.8,31.9
NT,2017,45.8,32.5
NT,2018,47.1,33.8
NT,2019,47.9,36
NT,2020,46,33.8
NT,2021,46.6,32.1
NT,2022,46.5,32.3
NT,2023,46.6,31.7
NT,2024,46.3,32.9
NT,2025,46.2,33.5
NT,2026,46.4,32.2
